loan_id,customer_id,loan_type,loan_amount,interest_rate,start_date,end_date,loan_status
54,2001,Personal,1098316.2,8.87,16-01-21,16-01-40,Closed
55,877,Personal,979426.06,12.19,25-03-19,25-03-35,Default
56,3155,Car,4502365.3,7.91,21-08-12,21-08-24,Closed
57,4699,Education,1875138.98,11.63,06-04-18,06-04-31,Active
58,2894,Car,2851105.6,11.22,19-12-21,19-12-32,Default
59,3541,Education,2901109.27,13.15,11-06-18,11-06-19,Closed
60,2374,Home,585665.07,12.26,13-12-22,13-12-35,Closed
61,96,Personal,907261.26,10.98,26-01-19,26-01-22,Closed
62,803,Car,3053144.51,5.49,23-09-22,23-09-39,Closed
63,4280,Home,4968902.58,7.97,24-04-24,24-04-25,Closed
64,807,Home,1011357.31,6.66,18-02-20,18-02-37,Default
65,2031,Home,725310,10.02,09-01-11,09-01-13,Active
66,3686,Car,443924.12,11.67,03-12-24,03-12-30,Default
67,329,Personal,2583927.42,10.24,30-12-17,30-12-33,Default
68,3223,Car,4117248.03,7.08,11-07-17,11-07-29,Default
69,2515,Car,2446851.55,13.54,16-10-21,16-10-25,Closed
70,1569,Education,3591322.47,10.63,09-12-23,09-12-36,Closed
71,1180,Education,3349489.74,13.93,21-08-10,21-08-14,Default
72,427,Home,61148.09,5.74,17-10-22,17-10-33,Default
73,4738,Car,1160145.68,12.26,16-01-18,16-01-32,Closed
74,1395,Car,2340630.53,11.38,07-10-06,07-10-18,Closed
75,4174,Education,4973214.54,10.31,09-06-21,09-06-26,Active
76,739,Education,3044941.41,7.64,14-08-24,14-08-36,Closed
77,4522,Education,2106814.45,5.05,19-12-24,19-12-26,Closed
78,416,Car,3617351.29,8.55,18-04-20,18-04-29,Active
79,2177,Car,3705519.04,10.47,26-09-21,26-09-31,Active
80,1919,Home,2398773.05,6.64,09-03-17,09-03-36,Default
81,2711,Education,1706306.58,12.41,22-07-23,22-07-26,Closed
82,1644,Home,531035.94,8.66,03-11-21,03-11-30,Default
83,266,Car,4138323.87,12.7,26-03-23,26-03-37,Active
84,4267,Personal,587176.97,7.24,30-05-22,30-05-33,Closed
85,1231,Car,4323670.23,8.1,07-06-20,07-06-38,Default
86,2078,Home,2796927.56,5.61,05-11-19,05-11-33,Closed
87,3155,Education,4924221.9,13.57,21-01-19,21-01-32,Closed
88,2627,Car,1506587.32,9.98,16-07-21,16-07-33,Closed
89,1791,Education,4688463.27,8.85,20-07-17,20-07-31,Default
90,834,Car,3962853.23,7.42,24-05-24,24-05-25,Default
91,689,Education,4917278.06,12.93,30-11-16,30-11-17,Closed
92,4419,Personal,3825716.95,7.89,29-01-22,29-01-41,Active
93,628,Education,1696823.5,13.05,02-04-23,02-04-36,Active
94,2819,Car,76029.95,13,24-08-24,24-08-26,Default
95,4496,Education,446397.56,6.13,13-09-22,13-09-34,Default
96,2940,Personal,1711913.83,9.71,29-07-19,29-07-30,Active
97,634,Car,4104456.83,6.03,11-02-22,11-02-37,Closed
98,580,Car,4726398.77,7.72,26-12-18,26-12-29,Active
99,992,Home,4914852.05,10.34,12-07-21,12-07-28,Default
100,3638,Home,2375069.65,5.18,14-02-19,14-02-39,Closed
101,1914,Car,3211861.99,8.13,15-07-24,15-07-36,Active
102,3977,Home,3788460.62,12.67,02-05-24,02-05-33,Closed
103,4210,Home,1949870.77,9.3,19-10-20,19-10-34,Active
104,4164,Car,257323.61,8.37,09-09-14,09-09-31,Active
105,386,Car,2535427.67,9.09,22-03-12,22-03-13,Active
106,2978,Car,2860091.99,8.24,17-04-23,17-04-40,Active
107,4107,Car,3764896.18,7.15,08-10-24,08-10-44,Active
108,274,Education,2124969.18,10.76,05-02-22,05-02-36,Default
109,3944,Home,3953414.66,13.16,12-09-14,12-09-26,Closed
110,573,Car,2900082.94,10.41,21-10-18,21-10-36,Default
111,232,Car,4278141.26,10.34,23-12-17,23-12-27,Default
112,4553,Education,3249224.46,5.04,19-12-20,19-12-32,Active
113,949,Personal,4630365.25,7.34,02-01-17,02-01-31,Default
114,3924,Education,4986734.18,7.91,29-05-23,29-05-41,Active
115,506,Education,4286841.34,9.48,27-11-19,27-11-35,Closed
116,945,Car,2693425.29,7.76,14-08-10,14-08-30,Active
117,3736,Education,4688033.1,12.23,18-12-08,18-12-15,Default
118,1418,Education,1733113.52,10.6,01-12-23,01-12-38,Active
119,2634,Education,2924521.17,9.53,05-12-22,05-12-30,Active
120,3048,Home,3363060.26,5.89,02-06-24,02-06-41,Default
121,445,Home,736114.25,12.02,30-06-23,30-06-38,Active
122,3041,Education,1939319.81,6.39,01-04-22,01-04-25,Active
123,3371,Car,1864415.38,7.96,08-08-10,08-08-29,Default
124,1602,Car,2739642.02,5.8,13-07-18,13-07-38,Closed
125,3145,Car,3641024.31,10.02,12-09-15,12-09-31,Active
126,1025,Education,88560.13,5.28,19-07-17,19-07-27,Default
127,3044,Personal,4301300.5,13.98,10-08-23,10-08-28,Default
128,4506,Personal,1148005.47,9.93,25-07-24,25-07-42,Closed
129,3628,Education,1070612.47,8.4,17-11-22,17-11-38,Default
130,3613,Personal,1620299.24,13.06,09-08-20,09-08-23,Closed
131,1793,Car,4714151.95,13.59,21-03-21,21-03-27,Active
132,2325,Car,1460942.76,5.37,03-08-19,03-08-35,Active
133,4674,Home,4784752.03,7.64,25-09-20,25-09-22,Active
134,4627,Car,1758467.6,9.11,25-12-11,25-12-20,Default
135,1612,Car,4912311.8,6.12,13-03-24,13-03-30,Default
136,3753,Car,396148.96,8.48,24-12-13,24-12-15,Active
137,3210,Personal,614377.56,11.09,24-02-05,24-02-09,Default
138,392,Education,2326934.23,13.16,25-10-23,25-10-28,Active
139,2474,Personal,1590508.73,7.08,14-03-24,14-03-41,Default
140,126,Education,1655785.12,12.88,21-12-23,21-12-33,Active
141,701,Education,269625.96,8.09,02-03-21,02-03-34,Closed
142,270,Personal,951001.78,9.27,01-08-20,01-08-37,Active
143,864,Home,666383.14,12.7,06-01-11,06-01-21,Closed
144,27,Education,4509042.61,5.17,22-05-24,22-05-31,Closed
145,1397,Car,2697432.99,10.55,01-09-24,01-09-36,Default
146,1456,Education,3168380.03,13.16,10-09-16,10-09-32,Default
147,3794,Personal,2873995.08,10.32,12-04-19,12-04-28,Default
148,1751,Education,1508717.2,7.28,21-12-21,21-12-41,Default
149,4418,Home,631144.2,7.69,19-10-22,19-10-29,Active
150,2498,Car,2727740.22,11.37,01-11-17,01-11-18,Default
151,4715,Education,3040210.52,11.03,18-08-20,18-08-25,Active
152,3294,Car,1188499.66,6.47,16-11-10,16-11-23,Default
153,1387,Education,199416.73,10.73,23-09-23,23-09-38,Default
154,455,Personal,4256634.54,6.59,07-07-24,07-07-38,Active
155,3808,Education,4188997.77,8.31,26-11-16,26-11-28,Active
156,2711,Education,3922000.09,10.83,20-08-20,20-08-23,Default
157,2083,Home,2372124.52,10.18,01-11-18,01-11-21,Closed
158,1864,Education,4350551.51,11.72,06-12-21,06-12-23,Active
159,4387,Car,4015981.45,6.33,30-03-19,30-03-34,Default
160,3662,Car,3002153.2,12.96,08-07-10,08-07-22,Active
161,3739,Home,3116563.07,7.28,04-10-23,04-10-24,Closed
162,2525,Car,602593.5,6.04,17-08-24,17-08-30,Active
163,2533,Home,592629.11,8.41,02-06-19,02-06-34,Default
164,1385,Education,415418.34,12.63,13-10-16,13-10-31,Closed
165,3881,Education,3796409.09,7.67,17-11-24,17-11-31,Closed
166,3735,Personal,3663608.18,6.17,15-08-23,15-08-34,Closed
167,2646,Education,2276645.09,6.34,19-11-24,19-11-28,Active
168,4862,Home,1709218.8,11.23,08-12-15,08-12-16,Default
169,4401,Personal,2852703,13.57,23-07-21,23-07-37,Default
170,2694,Education,4098758.64,9.93,08-07-18,08-07-26,Closed
171,1782,Education,851607.74,11.86,17-12-24,17-12-28,Active
172,1399,Personal,1918466.07,13.27,31-03-12,31-03-14,Closed
173,1072,Personal,4431540.13,5.55,14-06-24,14-06-37,Active
174,1399,Personal,3422367.85,13.27,19-04-20,19-04-32,Closed
175,242,Education,3515534,6.33,07-05-22,07-05-40,Closed
176,2564,Education,2550365.68,9.58,27-09-21,27-09-28,Default
177,1481,Car,940252.43,6.1,20-10-13,20-10-29,Default
178,183,Car,4121586.4,9.93,13-03-12,13-03-22,Default
179,1766,Personal,3460731.74,12.56,12-03-14,12-03-26,Active
180,4515,Car,4374410.21,11.42,21-06-15,21-06-17,Default
181,3973,Home,4339884.81,5.85,24-12-18,24-12-20,Active
182,4458,Car,941039.08,8.94,04-05-16,04-05-19,Active
183,1425,Education,4840234.6,8.33,04-12-12,04-12-16,Closed
184,1810,Personal,638300.15,5.74,11-11-24,11-11-39,Default
185,3210,Car,3631260.87,7.63,05-10-13,05-10-26,Closed
186,4234,Home,2397009.12,11.68,16-02-10,16-02-11,Active
187,573,Personal,2565993.86,6.45,06-04-22,06-04-30,Active
188,1926,Home,3625082.39,6.11,07-07-21,07-07-23,Active
189,510,Home,2217239.79,10.35,18-07-21,18-07-24,Active
190,3469,Personal,4417941.52,9.23,25-11-16,25-11-29,Active
191,2871,Personal,1453849.49,6.81,21-11-11,21-11-13,Default
192,4284,Home,1089677.75,5.43,12-10-23,12-10-43,Default
193,4014,Personal,3816040.15,7.26,10-04-24,10-04-37,Active
194,1245,Personal,4549121.65,10.38,19-10-20,19-10-21,Active
195,3864,Education,4689299.85,10.84,07-08-23,07-08-37,Closed
196,3477,Education,4708758.76,7.38,07-03-23,07-03-33,Active
197,1607,Education,404000.56,10.07,23-09-15,23-09-26,Default
198,1413,Home,4887475.45,13.77,27-01-06,27-01-26,Default
199,3666,Car,4800224.2,13.59,18-07-24,18-07-33,Active
200,526,Personal,1216769.01,8.42,19-07-24,19-07-42,Default
201,3449,Education,3212689.31,13.08,01-04-23,01-04-35,Active
202,667,Home,2820199.52,5.71,25-01-23,25-01-29,Active
203,2440,Education,4934226.71,12.66,01-09-19,01-09-24,Default
204,2621,Education,3387681.03,7.65,08-12-18,08-12-27,Closed
205,1320,Car,674062.85,7.47,15-03-15,15-03-34,Closed
206,1092,Personal,2676917.71,7.01,27-10-23,27-10-35,Closed
207,2371,Car,2687218.32,5.72,14-07-15,14-07-24,Closed
208,184,Education,4361698.26,13.05,14-01-11,14-01-25,Active
209,3957,Car,3646031.36,10.06,05-04-23,05-04-40,Active
210,3269,Personal,4759953.48,12.18,20-04-22,20-04-37,Default
211,1961,Personal,3701507.48,8.9,28-11-24,28-11-40,Closed
212,486,Education,1562126.98,10.01,06-08-18,06-08-25,Default
213,789,Education,1982481.48,8.76,07-01-22,07-01-35,Closed
214,3065,Car,3841811.28,7.79,03-11-20,03-11-33,Closed
215,1926,Car,175337.25,9.22,11-09-24,11-09-35,Closed
216,3956,Home,2535254.29,7.33,13-08-16,13-08-31,Closed
217,56,Personal,1967642.73,6.3,03-01-22,03-01-37,Default
218,4022,Education,1840651.32,11.53,26-09-22,26-09-26,Active
219,1424,Home,908892.35,9.66,03-03-13,03-03-17,Default
220,2664,Personal,1695050.77,7.79,19-09-24,19-09-27,Default
221,4626,Home,478408.53,9.08,07-11-14,07-11-24,Default
222,785,Education,3035120.3,12.89,15-06-21,15-06-24,Default
223,3883,Car,1253351.92,9.21,22-04-23,22-04-42,Active
224,2879,Personal,4770210.03,11.01,22-03-20,22-03-32,Default
225,4059,Personal,1662817.48,5.9,27-10-23,27-10-38,Closed
226,1369,Personal,646757.66,7.11,15-02-14,15-02-21,Closed
227,150,Education,4147166.97,6.88,24-11-12,24-11-20,Default
228,4808,Education,4005878.21,11.7,06-10-23,06-10-40,Default
229,3087,Home,1393266.54,11.98,23-09-23,23-09-36,Active
230,4189,Education,897300.93,8.67,05-08-22,05-08-30,Default
231,3191,Education,866627.64,10.07,24-10-14,24-10-17,Active
232,57,Personal,4804596.44,7.95,20-12-09,20-12-24,Default
233,3342,Education,1147340.26,12.57,12-08-24,12-08-37,Closed
234,1054,Car,2629950.39,9.82,23-07-19,23-07-25,Closed
235,4980,Education,3571720.98,10.44,01-11-20,01-11-30,Active
236,2793,Education,1924342.52,10.6,23-11-24,23-11-30,Closed
237,3799,Education,1323078.97,13.34,25-12-19,25-12-23,Active
238,4704,Home,586490.69,10.87,15-12-22,15-12-26,Default
239,4649,Education,949666.04,11.58,26-09-12,26-09-24,Active
240,4554,Personal,360267.22,7.4,02-04-23,02-04-35,Default
241,402,Home,2852497.74,13.04,14-09-24,14-09-28,Closed
242,4665,Home,147485.91,5.86,14-09-22,14-09-37,Default
243,4034,Education,2403048.4,11.38,12-01-22,12-01-26,Active
244,1447,Home,3729707.72,10.76,05-02-14,05-02-18,Default
245,1771,Personal,3226604.99,12.48,29-07-22,29-07-35,Default
246,4251,Home,4767679.63,5.67,03-02-20,03-02-40,Closed
247,1971,Personal,3508017.62,9.56,24-12-23,24-12-31,Default
248,4230,Car,2655321.67,5.82,27-07-18,27-07-23,Active
249,2365,Car,2273762,7.01,28-06-06,28-06-18,Active
250,307,Personal,2772241.28,5.19,04-12-17,04-12-27,Active
251,904,Home,3290181.6,10.56,14-06-21,14-06-39,Default
252,697,Car,2861972.63,6.66,16-03-21,16-03-37,Active
253,4942,Car,595513.56,11.87,26-01-24,26-01-29,Default
254,3771,Home,4132268.33,9.54,24-10-23,24-10-34,Closed
255,3231,Education,3925721.63,12.6,24-08-22,24-08-32,Active
256,2799,Education,613625.57,13.83,29-06-21,29-06-22,Default
257,990,Education,2035146.29,8.52,08-07-24,08-07-25,Default
258,81,Car,1108906.39,11.1,20-07-20,20-07-23,Default
259,2652,Personal,4853723.13,8.38,04-08-20,04-08-24,Default
260,1983,Car,334183.78,9.38,28-08-16,28-08-29,Default
261,2649,Car,1996321.94,5.78,05-09-18,05-09-30,Active
262,2372,Education,2702085.17,13.93,13-09-24,13-09-43,Active
263,2960,Personal,3174523.45,5.94,27-04-15,27-04-29,Closed
264,4274,Education,2856329.89,13.75,28-04-24,28-04-40,Active
265,268,Home,1296538.22,13.19,23-10-21,23-10-26,Closed
266,3377,Car,3041095.15,6.2,13-10-11,13-10-26,Active
267,4859,Car,3778407.96,5.61,30-10-22,30-10-25,Active
268,796,Education,1766255.67,9.08,09-01-24,09-01-33,Closed
269,4187,Car,178671.89,9.56,27-05-20,27-05-30,Closed
270,177,Home,4698902.31,7.94,08-11-15,08-11-27,Closed
271,4494,Personal,2414375.33,6.77,10-11-20,10-11-35,Closed
272,1676,Home,2433621.66,11.77,29-10-23,29-10-34,Active
273,2317,Education,1894489.21,9.1,19-04-11,19-04-27,Closed
274,3135,Car,1034635.86,7.48,19-08-18,19-08-38,Active
275,2928,Education,163740.52,5.28,17-11-21,17-11-36,Active
276,2809,Personal,2475058.13,11.81,08-08-24,08-08-34,Closed
277,1529,Education,2918707.67,11.61,22-03-24,22-03-41,Closed
278,237,Home,4547807.18,7.48,16-07-19,16-07-37,Closed
279,3410,Home,2451510.75,9.33,20-03-19,20-03-28,Active
280,4946,Home,1165347.9,6.02,02-11-10,02-11-16,Active
281,2917,Home,4400347.44,11.23,07-01-21,07-01-41,Active
282,3587,Education,3362101.66,11.63,16-09-23,16-09-41,Default
283,3281,Car,1439936.16,8.89,27-08-22,27-08-26,Active
284,2649,Personal,1759889.07,6.81,26-03-24,26-03-39,Closed
285,4918,Personal,3994506.59,6.71,21-01-22,21-01-37,Default
286,4180,Personal,2298106.93,12.52,25-11-22,25-11-29,Default
287,159,Personal,2939928.54,13.13,03-05-20,03-05-24,Closed
288,574,Education,1167736.56,8.22,16-02-15,16-02-33,Active
289,1587,Car,3075958.73,10.28,27-04-24,27-04-25,Default
290,136,Personal,2931128.88,7.24,14-02-21,14-02-25,Closed
291,1093,Personal,2683482.05,6.19,17-11-23,17-11-31,Default
292,4449,Home,4443824.76,6.62,08-10-14,08-10-28,Closed
293,2475,Personal,896974.16,5.75,08-09-22,08-09-32,Active
294,1389,Car,4581516.2,10.29,18-02-22,18-02-31,Active
295,4650,Home,141700.3,7.61,26-02-08,26-02-09,Default
296,2947,Home,1774659.38,9.29,14-03-10,14-03-24,Default
297,2575,Education,381018.31,7.76,14-02-21,14-02-22,Active
298,4738,Car,4762047.16,8.44,20-12-11,20-12-20,Active
299,3793,Car,682889.01,6.98,19-03-16,19-03-22,Closed
300,1306,Education,138957.88,9.47,22-09-19,22-09-30,Default
301,4860,Car,742926.28,5.6,22-11-24,22-11-36,Active
302,819,Education,1781646.6,11.5,07-03-18,07-03-32,Default
303,1985,Car,1298863.57,6.85,12-02-19,12-02-29,Closed
304,1261,Car,2150313.85,6.31,06-09-11,06-09-22,Active
305,1944,Education,2818488.63,9.75,12-06-23,12-06-24,Closed
306,4724,Education,4714719.66,11.87,26-02-19,26-02-29,Closed
307,3630,Home,2925457.19,10.33,21-04-23,21-04-31,Active
308,659,Car,2104422.77,10.47,04-12-19,04-12-22,Default
309,2690,Home,2850052.69,10.35,09-08-18,09-08-31,Active
310,1310,Home,2874994.09,13.86,23-12-18,23-12-20,Default
311,3350,Home,4325411.37,5.67,22-10-18,22-10-27,Default
312,1913,Personal,3905233.79,11.36,13-09-22,13-09-33,Closed
313,3049,Education,1906936.83,13.85,12-02-12,12-02-28,Active
314,1214,Education,57295.98,11.94,08-07-24,08-07-40,Active
315,2835,Education,3018831.23,11.73,26-12-23,26-12-43,Active
316,2565,Education,2254046.99,12.88,12-09-24,12-09-31,Closed
317,788,Education,1151415.09,5.98,12-09-18,12-09-26,Default
318,2495,Education,3968516.51,6.55,20-01-23,20-01-26,Default
319,706,Personal,68137.91,5.61,03-03-20,03-03-27,Closed
320,1308,Home,1509713.39,11.57,19-10-20,19-10-35,Active
321,1292,Home,750331.65,11.87,02-02-10,02-02-23,Active
322,3875,Education,59508.99,9.37,12-10-19,12-10-31,Default
323,1924,Education,267749.53,6.5,10-06-13,10-06-16,Closed
324,132,Home,1098684.16,6.46,22-11-23,22-11-26,Default
325,4792,Personal,175886.74,10.01,14-08-19,14-08-39,Default
326,366,Home,2380261.57,7.99,26-12-18,26-12-23,Active
327,488,Personal,4063590.44,11.04,10-04-24,10-04-39,Active
328,1471,Car,1138742.87,10.99,23-10-13,23-10-16,Closed
329,3994,Education,1251837.48,9.09,11-04-22,11-04-23,Closed
330,352,Personal,4414842.43,7.45,16-09-24,16-09-37,Default
331,3996,Education,3585236.78,6.11,24-04-24,24-04-31,Closed
332,1259,Home,2121889.72,6.73,19-07-18,19-07-29,Closed
333,567,Personal,1087042.51,7.59,30-06-19,30-06-38,Default
334,3701,Education,4503322.74,13.01,24-12-17,24-12-18,Active
335,906,Personal,3380395.38,12.93,02-04-22,02-04-30,Closed
336,1700,Personal,3828136.15,9.48,04-08-11,04-08-29,Closed
337,3999,Personal,1977914.28,6.82,17-12-22,17-12-32,Default
338,2654,Home,2639605.44,10.18,01-10-24,01-10-32,Closed
339,3112,Car,347439.61,12.29,04-08-23,04-08-32,Closed
340,4194,Personal,273476.89,9.22,30-10-24,30-10-33,Default
341,4228,Home,1379022.43,6.8,02-10-23,02-10-41,Closed
342,3945,Personal,2408929.85,11.52,14-03-16,14-03-28,Default
343,4654,Home,3138644.31,9.19,21-11-18,21-11-32,Default
344,4738,Home,3579251.91,11.46,18-12-17,18-12-21,Default
345,4791,Personal,4564701.97,7.27,13-08-20,13-08-29,Default
346,2924,Home,4185720.2,9.78,18-12-22,18-12-28,Closed
347,4807,Car,1688036.28,11.62,29-11-22,29-11-28,Default
348,2700,Car,1544297.92,8.79,18-08-24,18-08-30,Default
349,3585,Home,4541909.61,8,02-01-22,02-01-38,Default
350,1447,Education,1887271.31,11.61,19-05-10,19-05-14,Closed
351,2452,Car,752236.28,13.74,17-05-19,17-05-34,Default
352,650,Education,2051822.5,9.26,21-08-19,21-08-21,Closed
353,4820,Education,2312766.74,12.08,02-08-21,02-08-38,Closed
354,60,Car,864296.99,8.92,27-07-22,27-07-31,Active
355,4404,Education,344048.89,8.08,10-03-22,10-03-32,Active
356,3735,Education,2870268.05,7.69,26-12-21,26-12-30,Closed
357,434,Education,4784220.27,9.79,18-11-21,18-11-23,Active
358,4491,Home,1424611.83,5.16,01-03-14,01-03-30,Active
359,2097,Car,522469.46,10.13,20-01-24,20-01-32,Active
360,4080,Home,2730229.04,7.35,31-08-22,31-08-42,Closed
361,3577,Home,1161384.26,6.02,28-01-23,28-01-29,Default
362,1922,Car,4488909.23,9.68,02-11-18,02-11-33,Closed
363,216,Home,3690868.27,10.04,10-12-15,10-12-21,Closed
364,2932,Home,664495.22,13.56,20-11-23,20-11-36,Default
365,2993,Car,64612.16,13.87,20-07-16,20-07-31,Default
366,4697,Education,348464.81,11.28,17-12-23,17-12-33,Closed
367,3202,Car,3419890.97,7.05,17-09-23,17-09-39,Default
368,1522,Personal,3909522.99,10.84,20-12-17,20-12-19,Default
369,4544,Personal,3752134.52,9.68,07-04-18,07-04-23,Default
370,4666,Home,3666685.33,6.86,11-03-19,11-03-28,Closed
371,26,Car,3919668.63,12.96,15-08-10,15-08-29,Closed
372,3107,Personal,2033220.56,8.73,09-06-13,09-06-15,Default
373,1307,Education,2117268.38,5.48,29-11-10,29-11-30,Closed
374,1815,Home,2366262.51,10.1,11-12-23,11-12-26,Closed
375,227,Personal,73812.24,12.19,06-11-20,06-11-29,Active
376,4392,Education,4220499.33,7.91,26-12-24,26-12-31,Closed
377,1274,Education,757440.65,8.37,30-03-24,30-03-39,Default
378,4106,Education,4440747.57,8.84,14-12-23,14-12-35,Closed
379,1507,Education,1776883.04,13.46,25-01-20,25-01-37,Default
380,3976,Personal,1481882.17,6.74,11-11-15,11-11-31,Closed
381,773,Personal,2811098.21,10.37,04-12-24,04-12-27,Closed
382,3846,Car,1569513,11.16,18-05-23,18-05-39,Closed
383,361,Car,3474039.7,7.46,13-02-21,13-02-33,Active
384,4255,Home,4135126.18,12.09,01-07-16,01-07-26,Default
385,2074,Car,1566165.4,5.82,07-08-13,07-08-19,Active
386,1698,Car,1139228.77,12.69,09-11-20,09-11-35,Default
387,1462,Home,4541320.77,10.71,25-01-20,25-01-38,Closed
388,3774,Personal,3195000.2,12,14-10-16,14-10-36,Closed
389,472,Personal,4868641.83,9.53,22-09-22,22-09-41,Closed
390,1107,Personal,2911402.57,9.04,14-02-20,14-02-34,Closed
391,88,Education,104920.45,8.03,08-08-14,08-08-24,Default
392,4881,Home,682005.22,11.26,09-05-20,09-05-24,Default
393,2481,Car,1609109.87,11.27,01-12-22,01-12-37,Closed
394,3376,Home,3127626.35,8.21,23-07-16,23-07-22,Default
395,986,Car,2649355.3,8.12,25-11-09,25-11-25,Closed
396,3740,Personal,3702961.11,9.25,10-07-23,10-07-32,Active
397,1631,Personal,3919794.6,12.02,25-12-12,25-12-23,Active
398,4078,Car,2697423.39,10.49,09-09-16,09-09-30,Default
399,1970,Home,588982.35,7.35,07-09-21,07-09-23,Default
400,2474,Education,3256801.47,13.06,12-12-23,12-12-35,Default
401,4295,Car,3597529.51,12.52,20-07-08,20-07-22,Active
402,3831,Car,806398.28,10.71,24-10-24,24-10-39,Active
403,256,Personal,2347972.11,5.03,15-06-11,15-06-29,Active
404,3998,Education,729724.64,6.95,16-07-22,16-07-35,Closed
405,3957,Personal,1737193.02,13.65,25-12-22,25-12-25,Active
406,2179,Car,1967330.2,12.9,10-09-11,10-09-31,Default
407,4218,Home,1514469.32,6.06,10-10-12,10-10-23,Default
408,584,Car,3476217.08,12.42,06-02-14,06-02-31,Closed
409,1157,Education,1306754.3,8.73,02-11-14,02-11-17,Default
410,1459,Education,2793324.44,5.09,19-12-14,19-12-21,Closed
411,4582,Car,3462714.87,9.18,08-05-18,08-05-38,Closed
412,1803,Personal,3293053,9.32,05-04-24,05-04-31,Closed
413,601,Personal,1263383.41,9.96,23-03-24,23-03-44,Closed
414,4260,Car,3772839.98,7.08,21-05-22,21-05-41,Default
415,2173,Car,3618318.4,12.15,26-09-23,26-09-36,Active
416,3304,Personal,589427.33,9.06,16-06-24,16-06-40,Closed
417,4719,Car,732075.2,11.12,24-11-23,24-11-26,Active
418,2341,Personal,3962928.8,12.3,31-03-24,31-03-33,Default
419,4000,Car,4943613.54,10.27,17-04-19,17-04-35,Active
420,4994,Car,1790104.73,11.62,06-11-24,06-11-43,Default
