display_id,loan_id,customer_id,loan_type,loan_amount,interest_rate,start_date,end_date,loan_status,loan_duration_months,risk_category,outlier_flag
81,81,2711,Education,1706306.58,12.41,2023-07-22,2026-07-22,Closed,36,High,0
82,82,1644,Home,531035.94,8.66,2021-11-03,2030-11-03,Default,108,High,0
83,83,266,Car,4138323.87,12.70,2023-03-26,2037-03-26,Active,168,High,0
84,84,4267,Personal,587176.97,7.24,2022-05-30,2033-05-30,Closed,132,High,0
85,85,1231,Car,4323670.23,8.10,2020-06-07,2038-06-07,Default,216,High,0
86,86,2078,Home,2796927.56,5.61,2019-11-05,2033-11-05,Closed,168,High,0
87,87,3155,Education,4924221.90,13.57,2019-01-21,2032-01-21,Closed,156,High,0
88,88,2627,Car,1506587.32,9.98,2021-07-16,2033-07-16,Closed,144,High,0
89,89,1791,Education,4688463.27,8.85,2017-07-20,2031-07-20,Default,168,High,0
90,90,834,Car,3962853.23,7.42,2024-05-24,2025-05-24,Default,12,High,0
91,91,689,Education,4917278.06,12.93,2016-11-30,2017-11-30,Closed,12,High,0
92,92,4419,Personal,3825716.95,7.89,2022-01-29,2041-01-29,Active,228,High,0
93,93,628,Education,1696823.50,13.05,2023-04-02,2036-04-02,Active,156,High,0
94,94,2819,Car,76029.95,13.00,2024-08-24,2026-08-24,Default,24,Low,0
95,95,4496,Education,446397.56,6.13,2022-09-13,2034-09-13,Default,144,Medium,0
96,96,2940,Personal,1711913.83,9.71,2019-07-29,2030-07-29,Active,132,High,0
97,97,634,Car,4104456.83,6.03,2022-02-11,2037-02-11,Closed,180,High,0
98,98,580,Car,4726398.77,7.72,2018-12-26,2029-12-26,Active,132,High,0
99,99,992,Home,4914852.05,10.34,2021-07-12,2028-07-12,Default,84,High,0
100,100,3638,Home,2375069.65,5.18,2019-02-14,2039-02-14,Closed,240,High,0
101,101,1914,Car,3211861.99,8.13,2024-07-15,2036-07-15,Active,144,High,0
102,102,3977,Home,3788460.62,12.67,2024-05-02,2033-05-02,Closed,108,High,0
103,103,4210,Home,1949870.77,9.30,2020-10-19,2034-10-19,Active,168,High,0
104,104,4164,Car,257323.61,8.37,2014-09-09,2031-09-09,Active,204,Medium,0
105,105,386,Car,2535427.67,9.09,2012-03-22,2013-03-22,Active,12,High,0
106,106,2978,Car,2860091.99,8.24,2023-04-17,2040-04-17,Active,204,High,0
107,107,4107,Car,3764896.18,7.15,2024-10-08,2044-10-08,Active,240,High,0
108,108,274,Education,2124969.18,10.76,2022-02-05,2036-02-05,Default,168,High,0
109,109,3944,Home,3953414.66,13.16,2014-09-12,2026-09-12,Closed,144,High,0
110,110,573,Car,2900082.94,10.41,2018-10-21,2036-10-21,Default,216,High,0
111,111,232,Car,4278141.26,10.34,2017-12-23,2027-12-23,Default,120,High,0
112,112,4553,Education,3249224.46,5.04,2020-12-19,2032-12-19,Active,144,High,0
113,113,949,Personal,4630365.25,7.34,2017-01-02,2031-01-02,Default,168,High,0
114,114,3924,Education,4986734.18,7.91,2023-05-29,2041-05-29,Active,216,High,0
115,115,506,Education,4286841.34,9.48,2019-11-27,2035-11-27,Closed,192,High,0
116,116,945,Car,2693425.29,7.76,2010-08-14,2030-08-14,Active,240,High,0
117,117,3736,Education,4688033.10,12.23,2008-12-18,2015-12-18,Default,84,High,0
118,118,1418,Education,1733113.52,10.60,2023-12-01,2038-12-01,Active,180,High,0
119,119,2634,Education,2924521.17,9.53,2022-12-05,2030-12-05,Active,96,High,0
120,120,3048,Home,3363060.26,5.89,2024-06-02,2041-06-02,Default,204,High,0
121,121,445,Home,736114.25,12.02,2023-06-30,2038-06-30,Active,180,High,0
122,122,3041,Education,1939319.81,6.39,2022-04-01,2025-04-01,Active,36,High,0
123,123,3371,Car,1864415.38,7.96,2010-08-08,2029-08-08,Default,228,High,0
124,124,1602,Car,2739642.02,5.80,2018-07-13,2038-07-13,Closed,240,High,0
125,125,3145,Car,3641024.31,10.02,2015-09-12,2031-09-12,Active,192,High,0
126,126,1025,Education,88560.13,5.28,2017-07-19,2027-07-19,Default,120,Low,0
127,127,3044,Personal,4301300.50,13.98,2023-08-10,2028-08-10,Default,60,High,0
128,128,4506,Personal,1148005.47,9.93,2024-07-25,2042-07-25,Closed,216,High,0
129,129,3628,Education,1070612.47,8.40,2022-11-17,2038-11-17,Default,192,High,0
130,130,3613,Personal,1620299.24,13.06,2020-08-09,2023-08-09,Closed,36,High,0
131,131,1793,Car,4714151.95,13.59,2021-03-21,2027-03-21,Active,72,High,0
132,132,2325,Car,1460942.76,5.37,2019-08-03,2035-08-03,Active,192,High,0
133,133,4674,Home,4784752.03,7.64,2020-09-25,2022-09-25,Active,24,High,0
134,134,4627,Car,1758467.60,9.11,2011-12-25,2020-12-25,Default,108,High,0
135,135,1612,Car,4912311.80,6.12,2024-03-13,2030-03-13,Default,72,High,0
136,136,3753,Car,396148.96,8.48,2013-12-24,2015-12-24,Active,24,Medium,0
137,137,3210,Personal,614377.56,11.09,2005-02-24,2009-02-24,Default,48,High,0
138,138,392,Education,2326934.23,13.16,2023-10-25,2028-10-25,Active,60,High,0
139,139,2474,Personal,1590508.73,7.08,2024-03-14,2041-03-14,Default,204,High,0
140,140,126,Education,1655785.12,12.88,2023-12-21,2033-12-21,Active,120,High,0
141,141,701,Education,269625.96,8.09,2021-03-02,2034-03-02,Closed,156,Medium,0
142,142,270,Personal,951001.78,9.27,2020-08-01,2037-08-01,Active,204,High,0
143,143,864,Home,666383.14,12.70,2011-01-06,2021-01-06,Closed,120,High,0
144,144,27,Education,4509042.61,5.17,2024-05-22,2031-05-22,Closed,84,High,0
145,145,1397,Car,2697432.99,10.55,2024-09-01,2036-09-01,Default,144,High,0
146,146,1456,Education,3168380.03,13.16,2016-09-10,2032-09-10,Default,192,High,0
147,147,3794,Personal,2873995.08,10.32,2019-04-12,2028-04-12,Default,108,High,0
148,148,1751,Education,1508717.20,7.28,2021-12-21,2041-12-21,Default,240,High,0
149,149,4418,Home,631144.20,7.69,2022-10-19,2029-10-19,Active,84,High,0
150,150,2498,Car,2727740.22,11.37,2017-11-01,2018-11-01,Default,12,High,0
151,151,4715,Education,3040210.52,11.03,2020-08-18,2025-08-18,Active,60,High,0
152,152,3294,Car,1188499.66,6.47,2010-11-16,2023-11-16,Default,156,High,0
153,153,1387,Education,199416.73,10.73,2023-09-23,2038-09-23,Default,180,Medium,0
154,154,455,Personal,4256634.54,6.59,2024-07-07,2038-07-07,Active,168,High,0
155,155,3808,Education,4188997.77,8.31,2016-11-26,2028-11-26,Active,144,High,0
156,156,2711,Education,3922000.09,10.83,2020-08-20,2023-08-20,Default,36,High,0
157,157,2083,Home,2372124.52,10.18,2018-11-01,2021-11-01,Closed,36,High,0
158,158,1864,Education,4350551.51,11.72,2021-12-06,2023-12-06,Active,24,High,0
159,159,4387,Car,4015981.45,6.33,2019-03-30,2034-03-30,Default,180,High,0
160,160,3662,Car,3002153.20,12.96,2010-07-08,2022-07-08,Active,144,High,0
161,161,3739,Home,3116563.07,7.28,2023-10-04,2024-10-04,Closed,12,High,0
162,162,2525,Car,602593.50,6.04,2024-08-17,2030-08-17,Active,72,High,0
163,163,2533,Home,592629.11,8.41,2019-06-02,2034-06-02,Default,180,High,0
164,164,1385,Education,415418.34,12.63,2016-10-13,2031-10-13,Closed,180,Medium,0
165,165,3881,Education,3796409.09,7.67,2024-11-17,2031-11-17,Closed,84,High,0
166,166,3735,Personal,3663608.18,6.17,2023-08-15,2034-08-15,Closed,132,High,0
167,167,2646,Education,2276645.09,6.34,2024-11-19,2028-11-19,Active,48,High,0
168,168,4862,Home,1709218.80,11.23,2015-12-08,2016-12-08,Default,12,High,0
169,169,4401,Personal,2852703.00,13.57,2021-07-23,2037-07-23,Default,192,High,0
170,170,2694,Education,4098758.64,9.93,2018-07-08,2026-07-08,Closed,96,High,0
171,171,1782,Education,851607.74,11.86,2024-12-17,2028-12-17,Active,48,High,0
172,172,1399,Personal,1918466.07,13.27,2012-03-31,2014-03-31,Closed,24,High,0
173,173,1072,Personal,4431540.13,5.55,2024-06-14,2037-06-14,Active,156,High,0
174,174,1399,Personal,3422367.85,13.27,2020-04-19,2032-04-19,Closed,144,High,0
175,175,242,Education,3515534.00,6.33,2022-05-07,2040-05-07,Closed,216,High,0
176,176,2564,Education,2550365.68,9.58,2021-09-27,2028-09-27,Default,84,High,0
177,177,1481,Car,940252.43,6.10,2013-10-20,2029-10-20,Default,192,High,0
178,178,183,Car,4121586.40,9.93,2012-03-13,2022-03-13,Default,120,High,0
179,179,1766,Personal,3460731.74,12.56,2014-03-12,2026-03-12,Active,144,High,0
180,180,4515,Car,4374410.21,11.42,2015-06-21,2017-06-21,Default,24,High,0
181,181,3973,Home,4339884.81,5.85,2018-12-24,2020-12-24,Active,24,High,0
182,182,4458,Car,941039.08,8.94,2016-05-04,2019-05-04,Active,36,High,0
183,183,1425,Education,4840234.60,8.33,2012-12-04,2016-12-04,Closed,48,High,0
184,184,1810,Personal,638300.15,5.74,2024-11-11,2039-11-11,Default,180,High,0
185,185,3210,Car,3631260.87,7.63,2013-10-05,2026-10-05,Closed,156,High,0
186,186,4234,Home,2397009.12,11.68,2010-02-16,2011-02-16,Active,12,High,0
187,187,573,Personal,2565993.86,6.45,2022-04-06,2030-04-06,Active,96,High,0
188,188,1926,Home,3625082.39,6.11,2021-07-07,2023-07-07,Active,24,High,0
189,189,510,Home,2217239.79,10.35,2021-07-18,2024-07-18,Active,36,High,0
190,190,3469,Personal,4417941.52,9.23,2016-11-25,2029-11-25,Active,156,High,0
191,191,2871,Personal,1453849.49,6.81,2011-11-21,2013-11-21,Default,24,High,0
192,192,4284,Home,1089677.75,5.43,2023-10-12,2043-10-12,Default,240,High,0
193,193,4014,Personal,3816040.15,7.26,2024-04-10,2037-04-10,Active,156,High,0
194,194,1245,Personal,4549121.65,10.38,2020-10-19,2021-10-19,Active,12,High,0
195,195,3864,Education,4689299.85,10.84,2023-08-07,2037-08-07,Closed,168,High,0
196,196,3477,Education,4708758.76,7.38,2023-03-07,2033-03-07,Active,120,High,0
197,197,1607,Education,404000.56,10.07,2015-09-23,2026-09-23,Default,132,Medium,0
198,198,1413,Home,4887475.45,13.77,2006-01-27,2026-01-27,Default,240,High,0
199,199,3666,Car,4800224.20,13.59,2024-07-18,2033-07-18,Active,108,High,0
200,200,526,Personal,1216769.01,8.42,2024-07-19,2042-07-19,Default,216,High,0
201,201,3449,Education,3212689.31,13.08,2023-04-01,2035-04-01,Active,144,High,0
202,202,667,Home,2820199.52,5.71,2023-01-25,2029-01-25,Active,72,High,0
203,203,2440,Education,4934226.71,12.66,2019-09-01,2024-09-01,Default,60,High,0
204,204,2621,Education,3387681.03,7.65,2018-12-08,2027-12-08,Closed,108,High,0
205,205,1320,Car,674062.85,7.47,2015-03-15,2034-03-15,Closed,228,High,0
206,206,1092,Personal,2676917.71,7.01,2023-10-27,2035-10-27,Closed,144,High,0
207,207,2371,Car,2687218.32,5.72,2015-07-14,2024-07-14,Closed,108,High,0
208,208,184,Education,4361698.26,13.05,2011-01-14,2025-01-14,Active,168,High,0
209,209,3957,Car,3646031.36,10.06,2023-04-05,2040-04-05,Active,204,High,0
210,210,3269,Personal,4759953.48,12.18,2022-04-20,2037-04-20,Default,180,High,0
211,211,1961,Personal,3701507.48,8.90,2024-11-28,2040-11-28,Closed,192,High,0
212,212,486,Education,1562126.98,10.01,2018-08-06,2025-08-06,Default,84,High,0
213,213,789,Education,1982481.48,8.76,2022-01-07,2035-01-07,Closed,156,High,0
214,214,3065,Car,3841811.28,7.79,2020-11-03,2033-11-03,Closed,156,High,0
215,215,1926,Car,175337.25,9.22,2024-09-11,2035-09-11,Closed,132,Medium,0
216,216,3956,Home,2535254.29,7.33,2016-08-13,2031-08-13,Closed,180,High,0
217,217,56,Personal,1967642.73,6.30,2022-01-03,2037-01-03,Default,180,High,0
218,218,4022,Education,1840651.32,11.53,2022-09-26,2026-09-26,Active,48,High,0
219,219,1424,Home,908892.35,9.66,2013-03-03,2017-03-03,Default,48,High,0
220,220,2664,Personal,1695050.77,7.79,2024-09-19,2027-09-19,Default,36,High,0
221,221,4626,Home,478408.53,9.08,2014-11-07,2024-11-07,Default,120,Medium,0
222,222,785,Education,3035120.30,12.89,2021-06-15,2024-06-15,Default,36,High,0
223,223,3883,Car,1253351.92,9.21,2023-04-22,2042-04-22,Active,228,High,0
224,224,2879,Personal,4770210.03,11.01,2020-03-22,2032-03-22,Default,144,High,0
225,225,4059,Personal,1662817.48,5.90,2023-10-27,2038-10-27,Closed,180,High,0
226,226,1369,Personal,646757.66,7.11,2014-02-15,2021-02-15,Closed,84,High,0
227,227,150,Education,4147166.97,6.88,2012-11-24,2020-11-24,Default,96,High,0
228,228,4808,Education,4005878.21,11.70,2023-10-06,2040-10-06,Default,204,High,0
229,229,3087,Home,1393266.54,11.98,2023-09-23,2036-09-23,Active,156,High,0
230,230,4189,Education,897300.93,8.67,2022-08-05,2030-08-05,Default,96,High,0
231,231,3191,Education,866627.64,10.07,2014-10-24,2017-10-24,Active,36,High,0
232,232,57,Personal,4804596.44,7.95,2009-12-20,2024-12-20,Default,180,High,0
233,233,3342,Education,1147340.26,12.57,2024-08-12,2037-08-12,Closed,156,High,0
234,234,1054,Car,2629950.39,9.82,2019-07-23,2025-07-23,Closed,72,High,0
235,235,4980,Education,3571720.98,10.44,2020-11-01,2030-11-01,Active,120,High,0
236,236,2793,Education,1924342.52,10.60,2024-11-23,2030-11-23,Closed,72,High,0
237,237,3799,Education,1323078.97,13.34,2019-12-25,2023-12-25,Active,48,High,0
238,238,4704,Home,586490.69,10.87,2022-12-15,2026-12-15,Default,48,High,0
239,239,4649,Education,949666.04,11.58,2012-09-26,2024-09-26,Active,144,High,0
240,240,4554,Personal,360267.22,7.40,2023-04-02,2035-04-02,Default,144,Medium,0
241,241,402,Home,2852497.74,13.04,2024-09-14,2028-09-14,Closed,48,High,0
242,242,4665,Home,147485.91,5.86,2022-09-14,2037-09-14,Default,180,Medium,0
243,243,4034,Education,2403048.40,11.38,2022-01-12,2026-01-12,Active,48,High,0
244,244,1447,Home,3729707.72,10.76,2014-02-05,2018-02-05,Default,48,High,0
245,245,1771,Personal,3226604.99,12.48,2022-07-29,2035-07-29,Default,156,High,0
246,246,4251,Home,4767679.63,5.67,2020-02-03,2040-02-03,Closed,240,High,0
247,247,1971,Personal,3508017.62,9.56,2023-12-24,2031-12-24,Default,96,High,0
248,248,4230,Car,2655321.67,5.82,2018-07-27,2023-07-27,Active,60,High,0
249,249,2365,Car,2273762.00,7.01,2006-06-28,2018-06-28,Active,144,High,0
250,250,307,Personal,2772241.28,5.19,2017-12-04,2027-12-04,Active,120,High,0
251,251,904,Home,3290181.60,10.56,2021-06-14,2039-06-14,Default,216,High,0
252,252,697,Car,2861972.63,6.66,2021-03-16,2037-03-16,Active,192,High,0
253,253,4942,Car,595513.56,11.87,2024-01-26,2029-01-26,Default,60,High,0
254,254,3771,Home,4132268.33,9.54,2023-10-24,2034-10-24,Closed,132,High,0
255,255,3231,Education,3925721.63,12.60,2022-08-24,2032-08-24,Active,120,High,0
256,256,2799,Education,613625.57,13.83,2021-06-29,2022-06-29,Default,12,High,0
257,257,990,Education,2035146.29,8.52,2024-07-08,2025-07-08,Default,12,High,0
258,258,81,Car,1108906.39,11.10,2020-07-20,2023-07-20,Default,36,High,0
259,259,2652,Personal,4853723.13,8.38,2020-08-04,2024-08-04,Default,48,High,0
260,260,1983,Car,334183.78,9.38,2016-08-28,2029-08-28,Default,156,Medium,0
261,261,2649,Car,1996321.94,5.78,2018-09-05,2030-09-05,Active,144,High,0
262,262,2372,Education,2702085.17,13.93,2024-09-13,2043-09-13,Active,228,High,0
263,263,2960,Personal,3174523.45,5.94,2015-04-27,2029-04-27,Closed,168,High,0
264,264,4274,Education,2856329.89,13.75,2024-04-28,2040-04-28,Active,192,High,0
265,265,268,Home,1296538.22,13.19,2021-10-23,2026-10-23,Closed,60,High,0
266,266,3377,Car,3041095.15,6.20,2011-10-13,2026-10-13,Active,180,High,0
267,267,4859,Car,3778407.96,5.61,2022-10-30,2025-10-30,Active,36,High,0
268,268,796,Education,1766255.67,9.08,2024-01-09,2033-01-09,Closed,108,High,0
269,269,4187,Car,178671.89,9.56,2020-05-27,2030-05-27,Closed,120,Medium,0
270,270,177,Home,4698902.31,7.94,2015-11-08,2027-11-08,Closed,144,High,0
271,271,4494,Personal,2414375.33,6.77,2020-11-10,2035-11-10,Closed,180,High,0
272,272,1676,Home,2433621.66,11.77,2023-10-29,2034-10-29,Active,132,High,0
273,273,2317,Education,1894489.21,9.10,2011-04-19,2027-04-19,Closed,192,High,0
274,274,3135,Car,1034635.86,7.48,2018-08-19,2038-08-19,Active,240,High,0
275,275,2928,Education,163740.52,5.28,2021-11-17,2036-11-17,Active,180,Medium,0
276,276,2809,Personal,2475058.13,11.81,2024-08-08,2034-08-08,Closed,120,High,0
277,277,1529,Education,2918707.67,11.61,2024-03-22,2041-03-22,Closed,204,High,0
278,278,237,Home,4547807.18,7.48,2019-07-16,2037-07-16,Closed,216,High,0
279,279,3410,Home,2451510.75,9.33,2019-03-20,2028-03-20,Active,108,High,0
280,280,4946,Home,1165347.90,6.02,2010-11-02,2016-11-02,Active,72,High,0
281,281,2917,Home,4400347.44,11.23,2021-01-07,2041-01-07,Active,240,High,0
282,282,3587,Education,3362101.66,11.63,2023-09-16,2041-09-16,Default,216,High,0
283,283,3281,Car,1439936.16,8.89,2022-08-27,2026-08-27,Active,48,High,0
284,284,2649,Personal,1759889.07,6.81,2024-03-26,2039-03-26,Closed,180,High,0
285,285,4918,Personal,3994506.59,6.71,2022-01-21,2037-01-21,Default,180,High,0
286,286,4180,Personal,2298106.93,12.52,2022-11-25,2029-11-25,Default,84,High,0
287,287,159,Personal,2939928.54,13.13,2020-05-03,2024-05-03,Closed,48,High,0
288,288,574,Education,1167736.56,8.22,2015-02-16,2033-02-16,Active,216,High,0
289,289,1587,Car,3075958.73,10.28,2024-04-27,2025-04-27,Default,12,High,0
290,290,136,Personal,2931128.88,7.24,2021-02-14,2025-02-14,Closed,48,High,0
291,291,1093,Personal,2683482.05,6.19,2023-11-17,2031-11-17,Default,96,High,0
292,292,4449,Home,4443824.76,6.62,2014-10-08,2028-10-08,Closed,168,High,0
293,293,2475,Personal,896974.16,5.75,2022-09-08,2032-09-08,Active,120,High,0
294,294,1389,Car,4581516.20,10.29,2022-02-18,2031-02-18,Active,108,High,0
295,295,4650,Home,141700.30,7.61,2008-02-26,2009-02-26,Default,12,Medium,0
296,296,2947,Home,1774659.38,9.29,2010-03-14,2024-03-14,Default,168,High,0
297,297,2575,Education,381018.31,7.76,2021-02-14,2022-02-14,Active,12,Medium,0
298,298,4738,Car,4762047.16,8.44,2011-12-20,2020-12-20,Active,108,High,0
299,299,3793,Car,682889.01,6.98,2016-03-19,2022-03-19,Closed,72,High,0
300,300,1306,Education,138957.88,9.47,2019-09-22,2030-09-22,Default,132,Medium,0
301,301,4860,Car,742926.28,5.60,2024-11-22,2036-11-22,Active,144,High,0
302,302,819,Education,1781646.60,11.50,2018-03-07,2032-03-07,Default,168,High,0
303,303,1985,Car,1298863.57,6.85,2019-02-12,2029-02-12,Closed,120,High,0
304,304,1261,Car,2150313.85,6.31,2011-09-06,2022-09-06,Active,132,High,0
305,305,1944,Education,2818488.63,9.75,2023-06-12,2024-06-12,Closed,12,High,0
306,306,4724,Education,4714719.66,11.87,2019-02-26,2029-02-26,Closed,120,High,0
307,307,3630,Home,2925457.19,10.33,2023-04-21,2031-04-21,Active,96,High,0
308,308,659,Car,2104422.77,10.47,2019-12-04,2022-12-04,Default,36,High,0
309,309,2690,Home,2850052.69,10.35,2018-08-09,2031-08-09,Active,156,High,0
310,310,1310,Home,2874994.09,13.86,2018-12-23,2020-12-23,Default,24,High,0
311,311,3350,Home,4325411.37,5.67,2018-10-22,2027-10-22,Default,108,High,0
312,312,1913,Personal,3905233.79,11.36,2022-09-13,2033-09-13,Closed,132,High,0
313,313,3049,Education,1906936.83,13.85,2012-02-12,2028-02-12,Active,192,High,0
314,314,1214,Education,57295.98,11.94,2024-07-08,2040-07-08,Active,192,Low,0
315,315,2835,Education,3018831.23,11.73,2023-12-26,2043-12-26,Active,240,High,0
316,316,2565,Education,2254046.99,12.88,2024-09-12,2031-09-12,Closed,84,High,0
317,317,788,Education,1151415.09,5.98,2018-09-12,2026-09-12,Default,96,High,0
318,318,2495,Education,3968516.51,6.55,2023-01-20,2026-01-20,Default,36,High,0
319,319,706,Personal,68137.91,5.61,2020-03-03,2027-03-03,Closed,84,Low,0
320,320,1308,Home,1509713.39,11.57,2020-10-19,2035-10-19,Active,180,High,0
